nct_id,condition,facility_name,city,sampling_method,overall_status
NCT04455958,Hematopoietic and Lymphoid Cell Neoplasm|Malignant Solid Neoplasm|Symptomatic COVID-19 Infection Laboratory-Confirmed|,OHSU Knight Cancer Institute,Portland,NA,Not yet recruiting
NCT04471766,COVID-19|Respiratory Illness|,Bandim Health Project,Bissau,NA,Enrolling by invitation
NCT04397718,COVID-19|,"VA Long Beach Healthcare System, Long Beach, CA",Long Beach,NA,Recruiting
NCT04364711,COVID-19|SARS-CoV 2|,NA,NA,Probability Sample,Not yet recruiting
NCT04379531,Pneumonia|Coronavirus Infection|,Victor Gombolevskiy,Moscow,NA,Completed
NCT04468217,COVID|SARS-CoV2|Corona Virus Infection|,Laboratorio Neurognos,Santiago,Non-Probability Sample,Recruiting
NCT04346056,Coronavirus Disease (COVID-19)|COVID-19|,Faculty of Medicine Ain Shams University,Cairo,Probability Sample,Recruiting
NCT04385160,Myeloproliferative Neoplasm|COVID|,New York-Presbyterian/Weill Cornell Medical Center,New York,Non-Probability Sample,Recruiting
NCT04542447,Covid19|,Navin Hospital,Ghaziabad,NA,Recruiting
NCT04356534,SARS-CoV 2|COVID-19|,Royal College of Surgeons in Ireland - Bahrain,Manama,NA,Completed
NCT04452487,Patient Hospitalized in Disease Infectious Unit|Patient Hospitalized in Intensive Reanimation Unit|Patient Hopsitalized in Internal Medicine Unit|,CHU de Clermont-Ferrand,Clermont-Ferrand,Non-Probability Sample,Recruiting
NCT04487769,Covid19|Ultrasound|ARDS|,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),Amsterdam,Non-Probability Sample,Recruiting
NCT04366908,SARS-CoV 2|COVID19|SARS (Severe Acute Respiratory Syndrome)|Cytokine Release Syndrome|Cytokine Storm|,NA,NA,NA,Not yet recruiting
NCT04569227,Covid19 Pneumonia|,NA,NA,NA,Not yet recruiting
NCT04490278,Post ICU Syndrome|,Washington University School of Medicine/Barnes-Jewish Hospital,Saint Louis,NA,Recruiting
NCT04323631,COVID-19|,NA,NA,NA,Withdrawn
NCT04252118,COVID-19|,Beijing 302 Military Hospital of China,Beijing,NA,Recruiting
NCT04566770,COVID-19|,Taixing City center for Disease Control and Prevention,Taizhou,NA,Recruiting
NCT04329195,History of Cardiovascular Disease Treated With RAS Blockers and With SARS-CoV-2 Infection|,"Cardiologie, Groupe Hospitalier Pitié-Salpêtrière",Paris,NA,Recruiting
NCT03871491,Maternal Death|Maternal Infections Affecting Fetus or Newborn|Neonatal SEPSIS|Maternal Sepsis During Labor|Neonatal Death|Postpartum Sepsis|,ICDDRB,Dhaka,NA,Recruiting
NCT04511429,"Infections, Coronavirus|Kidney Transplantation|Liver Transplantation|Cancer|Covid19|",Hospital Federal de Bonsucesso,Rio de Janeiro,Non-Probability Sample,Recruiting
NCT04358627,"Acute Respiratory Distress Syndrome|Inflammation|Dexmedetomidine|Cytokine Storm|Delirium, Emergence|",NA,NA,Non-Probability Sample,Not yet recruiting
NCT04488588,Covid19|Coronavirus Disease|SARS-CoV-2|,AssiutU,Assiut,Non-Probability Sample,Completed
NCT04365985,COVID-19|Acute Respiratory Distress Syndrome|Severe Acute Respiratory Syndrome (SARS)|Coronavirus Infections|,William Beaumont Hospital,Royal Oak,NA,Recruiting
NCT04373460,SARS-CoV 2|,University of Alabama at Birmingham,Birmingham,NA,Recruiting
NCT04382235,Covid-19|,Policlinico San Marco - Ospedale Zingonia,Zingonia,Non-Probability Sample,"Active, not recruiting"
NCT04424017,COVID|Corona Virus Infection|,ECRRM,Cairo,Probability Sample,Recruiting
NCT04388605,Corona Virus Infection|COVID|Pregnancy Related|Early Pregnancy|,"University of California, San Francisco",San Francisco,Non-Probability Sample,Recruiting
NCT04401644,Diagnoses Disease|Coronavirus|,Somerset NHS Foundation Trust,Taunton,NA,Not yet recruiting
NCT04331509,COVID-19|,Massachusetts General Hospital,Boston,Non-Probability Sample,Recruiting
NCT04375644,"Covid 19|Stress, Psychological|","Gynaecology Department, Hôpital Femme Mère Enfant, Hospices Civils de Lyon",Bron,Non-Probability Sample,Not yet recruiting
NCT04406571,Pancreatic Adenocarcinoma|,Damien JOLLY,Reims,Non-Probability Sample,Recruiting
NCT04533360,Covid19|,Kingman Regional Medical Center,Kingman,Probability Sample,Recruiting
NCT04346160,COVID|Conjunctivitis|,"Ophtalmology Clinic, G.d'Annunzio University",Chieti,Non-Probability Sample,Not yet recruiting
NCT04529408,Covid19|Pulmonary Disease|,Imperial College Healthcare NHS Trust,London,Non-Probability Sample,Recruiting
NCT04564287,COVID-19|,National Institutes of Health Clinical Center,Bethesda,Non-Probability Sample,Enrolling by invitation
NCT04402892,COVID-19|SARS-CoV-2 Infection|,NA,NA,NA,Not yet recruiting
NCT04386109,Neonatal COVID-19 Disease|,Imperial College,London,Probability Sample,Recruiting
NCT04499677,COVID-19|,Royal Free Hospital,London,NA,Recruiting
NCT04332016,Infection Viral|,Centre Hospitalier Universitaire de Bordeaux,Bordeaux,Non-Probability Sample,Recruiting
NCT04545749,COVID-19|,China Medical University Hospital,Taichung,NA,Recruiting
NCT04365816,COVID-19|,Marie-France VAILLANT,Grenoble,Non-Probability Sample,Completed
NCT04372017,COVID-19|SARS-CoV 2|,Sanford Health,Sioux Falls,NA,"Active, not recruiting"
NCT04453982,Sars-CoV2|Breastmilk|,Sinai Health System,Toronto,Non-Probability Sample,Recruiting
NCT04414657,COVID19|,"University Hospital Zurich, Clinical Trials Center",Zurich,Non-Probability Sample,Recruiting
NCT04420676,COVID|,"Department of Internal Medicine, Medical University of Graz",Graz,NA,Not yet recruiting
NCT04412252,COVID-19|,Hartford Hospital (HH),Hartford,NA,Withdrawn
NCT04324606,Coronavirus|,University Hospital Southampton NHS Foundation Trust,Southampton,NA,"Active, not recruiting"
NCT04446065,COVID-19|SARS-CoV2|,NA,NA,NA,Not yet recruiting
NCT04403243,COVID 19|,Lomonosov Moscow State University Medical Research and Educational Center,Moscow,NA,Recruiting
NCT04466280,COVID-19|,Mohammad Sadegh Bagheri Baghdasht,Tehran,NA,Recruiting
NCT04367207,Severe Acute Respiratory Syndrome Coronavirus 2|,Groote Schuur Hospital,Cape Town,Non-Probability Sample,Recruiting
NCT04536090,COVID-19|,NA,NA,NA,Not yet recruiting
NCT04527575,Covid19|,"Federal State Budgetary Institution of Healthcare ""Medical and Sanitary Unit No. 163 of the Federal Medical and Biological Agency"" (FGBUZ MSCH-163, FMBA of Russia)",Koltsovo,NA,"Active, not recruiting"
NCT04425044,Covid19|,Mothers Touch Foundation,Mumbai,Non-Probability Sample,Completed
NCT04352985,"Septic Shock|Endotoxemia|COVID|Corona Virus Infection|Sepsis, Severe|",University of Connecticut Health Center,Farmington,NA,Available
NCT04548934,Cardiopulmonary Resuscitation|Personal Protective Equipment|,NA,NA,NA,Not yet recruiting
NCT04407260,COVID -19|Respiratory Failure|Hypoxia|,Phelps Hospital,Sleepy Hollow,Non-Probability Sample,Completed
NCT04369859,Pregnant Women|,Assistance Publique Hôpitaux de Marseille,Marseille,Probability Sample,Recruiting
NCT04535869,COVID-19|,Mansoura Faculty of Medicine,Mansoura,NA,Not yet recruiting
NCT04392232,Coronavirus|COVID-19|Convalescent Plasma|,Good Samaritan Hospital,Cincinnati,NA,Recruiting
NCT04387656,Asymptomatic COVID-19 Infection Laboratory-Confirmed|Hematopoietic and Lymphoid Cell Neoplasm|Malignant Solid Neoplasm|Symptomatic COVID-19 Infection Laboratory-Confirmed|,University of Alabama at Birmingham Cancer Center,Birmingham,Non-Probability Sample,Recruiting
NCT04363177,Perinatal Depression|COVID19|Anxiety|PTSD|Pregnancy Related|,Shanghai Women's and Children's Health Center,Shanghai,NA,Not yet recruiting
NCT04434131,COVID-19|,University of New Mexico Health Sciences Center,Albuquerque,NA,Recruiting
NCT04377802,COVID 19|,king Fahad specialist hospital,Dammam,NA,Not yet recruiting
NCT04426201,COVID-19|Lymphocytopenia|,NA,NA,NA,Not yet recruiting
NCT04359667,COVID-19|Severe Pneumonia|,"University Hospital for Infectious Diseases ""Dr Fran Mihaljevic""",Zagreb,Probability Sample,Not yet recruiting
NCT04359927,Sars-CoV2|Covid19|Cardiovascular Diseases|Cardiovascular Risk Factor|,Hospital Clínic of Barcelona,Barcelona,Non-Probability Sample,Recruiting
NCT04547140,COVID-19|,NA,NA,NA,Not yet recruiting
NCT04435717,Covid19|,Hospital Universitario Ramón y Cajal,Madrid,NA,Recruiting
NCT04403932,Coronavirus Disease 2019 (COVID-19)|,Hospital Clínico San Carlos,Madrid,Probability Sample,Recruiting
NCT04472559,Quality of Life|Stress|,NA,NA,NA,Not yet recruiting
NCT04424212,Depression and Quality of Life Related to the Coronavirus Pandemic|,Linköping University,Linköping,NA,Recruiting
NCT04497298,COVID-19|,"SGS Life Sciences, Clinical Pharmacology Unit",Antwerp,NA,Recruiting
NCT04389489,COVID-19|Dyspareunia|Postpartum Period|,Kanuni Sultan Suleyman Training and Research Hospital,Istanbul,Non-Probability Sample,Recruiting
NCT04501432,Cardiac Rehabilitation|,"Institute of Sports Medicine, Prevention and Rehabilitation",Salzburg,Non-Probability Sample,Recruiting
NCT04541979,COVID-19|,Lund ED,Lund,NA,Recruiting
NCT04441996,COVID-19|,Emory Saint Joseph's Hospital,Atlanta,NA,Enrolling by invitation
NCT04473183,Covid19|SARS-CoV Infection|SARS-CoV-2|Corona Virus Infection|,University of Minnesota,Minneapolis,Probability Sample,Recruiting
NCT04429620,Sars-CoV2|,"University of Szeged, Albert Szent-Györgyi Health Center",Szeged,Non-Probability Sample,Recruiting
NCT04382625,SARS-CoV-2 Pneumonia|COVID-19|,Kootenai Health,Coeur d'Alene,NA,Not yet recruiting
NCT04423978,COVID-19|,Elisa Mazzini,Reggio Emilia,Non-Probability Sample,Completed
NCT04453371,Acute Respiratory Distress Syndrome|,NA,NA,NA,Not yet recruiting
NCT04563156,Covid19|,Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo-HCFMUSP,São Paulo,Non-Probability Sample,Enrolling by invitation
NCT04409483,Covid-19|,NA,NA,NA,Withdrawn
NCT04528368,COVID-19|,D'Or Institute for Research and Education,Rio de Janeiro,NA,Recruiting
NCT04353284,COVID-19|,Yale University,New Haven,NA,Recruiting
NCT04377503,Cytokine Release Syndrome|Covid-19|,NA,NA,NA,Not yet recruiting
NCT04355351,"New Coronavirus Disease (COVID-19), Infection With SARS-CoV-2|",Antibes Hospital,Antibes,NA,Recruiting
NCT04541472,Dental Surgeon|,"University Hospital, Clermont Ferrand",Clermont-Ferrand,Non-Probability Sample,Recruiting
NCT04376034,COVID19|Coronavirus Infection|Coronavirus|Virus Diseases|RNA Virus Infections|,WVU Medicine,Morgantown,NA,Recruiting
NCT04548492,the Use of Modern Technology Applications in Home Isolation|,NA,NA,Probability Sample,Not yet recruiting
NCT04366934,Coronavirus Infection|Severe Acute Respiratory Syndrome|Sars-CoV2|,"Hôpital Lariboisière, Policlinique",Paris,Non-Probability Sample,Recruiting
NCT04405921,SARS-CoV-2 Pneumonia|COVID-19|,University Hospital Farhat Hached,Sousse,NA,Not yet recruiting
NCT04456439,Multisystem Inflammatory Syndrome in Children (MIS-C) Associated With Coronavirus Disease (COVID-19)|,NA,NA,NA,Available
NCT04456075,SARS-CoV2|COVID|,Thoraxklinik at Heidelberg University,Heidelberg,Non-Probability Sample,Recruiting
NCT04348656,COVID-19|,Brooklyn Hospital,Brooklyn,NA,Recruiting
NCT04470323,T Cell Deficiency|,Faculty of Medicine,Assiut,Non-Probability Sample,Recruiting
NCT04331834,COVID-19|,ISGlobal,Barcelona,NA,Suspended
NCT04449276,Severe Acute Respiratory Syndrome|Coronavirus|SARS-CoV-2|COVID-19|,Universitair Ziekenhuis Ghent,Ghent,NA,Recruiting
NCT04373044,Symptomatic COVID-19 Infection Laboratory-Confirmed|,Los Angeles County-USC Medical Center,Los Angeles,NA,Recruiting
NCT04344782,COVID19 Pneumonia|,NA,NA,NA,Not yet recruiting
NCT04338568,COVID-19 Pneumonia|Lung Ultrasound|,Ziekenhuis Oost Limburg,Genk,NA,Recruiting
NCT04025580,Healthy Volunteer|COVID-19|,National Institutes of Health Clinical Center,Bethesda,NA,Recruiting
NCT04506632,COVID-19|Mental Health Burden|,Sheffield Teaching Hospitals NHS Foundation Trust,Sheffield,Non-Probability Sample,Recruiting
NCT04537130,Pulmonary Fibrosis|Covid19|,Hospital El Pilar,Barcelona,NA,Not yet recruiting
NCT04420390,Covid19|,Servicio de Oncología Radioterápica. Hospital Clínico San Carlos,Madrid,NA,Recruiting
NCT04345419,COVID|,"Tanta university hospital, Assuit University, Ainshams University",Tanta,NA,Recruiting
NCT04355611,Multiple Sclerosis|NMO Spectrum Disorder|COVID-19|,Hôpital Pitié Salpétrière,Paris,Non-Probability Sample,Recruiting
NCT04574050,Cancer|COPD|Asthma|Bronchiectasis Adult|Interstitial Lung Disease|Cystic Fibrosis|Chronic Heart Failure|Sickle Cell Disease|Renal Failure|Liver Failure|Post COVID-19|Dyspnea|,NA,NA,NA,Not yet recruiting
NCT04542876,Covid19|,Dr. Sarvepalli Radhakrishnan Rajasthan Ayurved University,Jodhpur,NA,Completed
NCT04452799,Coronavirus Infection|,NA,NA,NA,Not yet recruiting
NCT04422769,Spinal Cord Injuries|,Washington University School of Medicine,Saint Louis,Non-Probability Sample,Recruiting
NCT04385901,SARS-CoV 2|SARS Pneumonia|,Missouri Orthopedic Institute,Columbia,NA,Recruiting
NCT04406493,ARDS|COVID|,"Hillel Yaffe MC,",Hadera,NA,Recruiting
NCT04448054,"Estimate, With the Contribution of Optimized MRI, the Prevalence of Neurological and Neurovascular Manifestations on Imaging in the Event of SARS-CoV-2|",Fondation A De Rothschild,Paris,Non-Probability Sample,Recruiting
NCT04530396,Covid19 Prevention|,ARCHIMED V Clinic of new medical technologies limited liability company,Moscow,NA,Recruiting
NCT04347538,COVID 19|,Vanderblt University Medical Center,Nashville,NA,Recruiting
NCT04352400,COVID19|,NA,NA,NA,Not yet recruiting
NCT04447209,Dietary Diversity|,University of Malaya Medical Center,Kuala Lumpur,Non-Probability Sample,Recruiting
NCT04359251,COVID-19|Mechanical Ventilation Pressure High|Acute Respiratory Distress Syndrome|,"Zhongda Hospital, Southeast University",Nanjing,NA,Completed
NCT04424901,COVID-19 Pneumonia|Vascular Complications|,UConn Health,Farmington,NA,Recruiting
NCT04344834,Mental Health Issue|,NA,NA,Non-Probability Sample,Not yet recruiting
NCT04387292,COVID19|Ophthalmopathy|,Fondation A de Rothschild,Paris,NA,Recruiting
NCT04378829,Covid-19|Mean Platelet Volume|Platelet Destruction|,Yasin Tire,Konya,Non-Probability Sample,Recruiting
NCT04419545,Radiology|Artificial Intelligence|,Azienda Ospedaliero Universitaria Città della Salute e della Scienza,Torino,Non-Probability Sample,Recruiting
NCT04550325,"Covid19|Pneumonia, Viral|",Wolfson Medical Center,Holon,NA,Recruiting
NCT04350450,COVID|Coronavirus|COVID-19|,Montefiore Medical Center,Bronx,NA,Withdrawn
NCT04357938,Severe Acute Respiratory Syndrome Coronavirus 2|,Jena University Hospital,Jena,Probability Sample,"Active, not recruiting"
NCT04380402,COVID-19|,NA,NA,NA,Not yet recruiting
NCT04362865,COVID-19|,Medstar Washington Medical Center,Washington,Non-Probability Sample,Recruiting
NCT04451577,COVID|,Humanitas reseach hospital (ICH),Rozzano,Probability Sample,Recruiting
NCT04270383,2019-nCoV|,"Beijing Children's Hospital,",Beijing,Non-Probability Sample,Not yet recruiting
NCT04534621,Covid19|,NA,NA,Non-Probability Sample,Not yet recruiting
NCT04363463,COVID19|Oxygen Therapy|Prone Position|Spontaneous Ventilation|Respiratory Distress Syndrome|,CH de DAX,Dax,NA,Not yet recruiting
NCT04550351,Coronavirus|,Hunan Provincial Center for Disease Control and Prevention,Xiangtan,NA,Recruiting
NCT04333914,SARS-CoV-2 (COVID-19) Infection|Advanced or Metastatic Hematological or Solid Tumor|,Centre Léon Bérard,Lyon,NA,Suspended
NCT04329923,COVID-19|,University of Pennsylvania,Philadelphia,NA,Recruiting
NCT04371406,Covid-19|,NA,NA,NA,Not yet recruiting
NCT04452695,COVID-19|Telemedicine|Robotics|Emergencies|Emerging Infectious Disease|,Brigham and Women's Hospital,Boston,Non-Probability Sample,Recruiting
NCT04385095,SARS-CoV-2|,Belfast City Hospital,Belfast,NA,Recruiting
NCT04425889,COVID-19|SARS-CoV 2|,Hospital Universitario José E. Gonzalez,Monterrey,Non-Probability Sample,Completed
NCT04365595,SARS-CoV 2|COVID|,University Hospital Zurich,Zurich,Probability Sample,Recruiting
NCT04376684,Severe Acute Respiratory Syndrome|,GSK Investigational Site,Mobile,NA,Recruiting
NCT04569877,Severe Acute Respiratory Syndrome (SARS) Pneumonia|COVID-19 Pneumonia|,"Prof. Dr. Susanne Herold, PhD",Gießen,NA,Recruiting
NCT04422340,"COVID-19 Disease, Severe Form|",Resuscitation unit at Hospital Emile Roux,Le Puy-en-Velay,Non-Probability Sample,Recruiting
NCT04355702,Systemic Lupus Erythematosus|Covid-19|,Uhmontpellier,Montpellier,Non-Probability Sample,Recruiting
NCT04473131,COVID-19|,Hamad Medical Corporation,Doha,Non-Probability Sample,Recruiting
NCT04480112,Memory Disorders|Alzheimer Disease|Mild Cognitive Impairment|,Boston University Alzheimer Disease Center,Boston,NA,Enrolling by invitation
NCT04355793,COVID-19|,NA,NA,NA,Available
NCT04479163,COVID|,Hospital Militar Central,Caba,NA,Recruiting
NCT04408378,Coronavirus Infection|,Gaziosmanpaşa TREH,Istanbul,Probability Sample,Recruiting
NCT04370262,COVID-19|,Southside Hospital,Bay Shore,NA,Recruiting
NCT04344977,Coronavirus Disease 2019 (COVID-19)|,Lundquist Institute for Biomedical Innovation at Harbor - UCLA Medical Center,Torrance,Non-Probability Sample,Recruiting
NCT04493307,COVID-19|,Sinai Center for Thrombosis Research,Baltimore,Probability Sample,Recruiting
NCT04492891,SARS (Disease)|,NA,NA,NA,Not yet recruiting
NCT04397900,Identify the Viral Epitopes of Memory CD8 T Cells From Individuals That Have Recovered From SARS-CoV-2 Infection|Determine Which SARS-CoV-2 Proteins Are Frequently Recognized by T Cells in Patients With Varying HLA Types|,Ochsner Clinic Foundation,New Orleans,Non-Probability Sample,Recruiting
NCT04346979,Telerehabilitation|,NA,NA,NA,Not yet recruiting
NCT04528901,Covid-19|,Les Hôpitaux Universitaires de Strasbourg,Strasbourg,Non-Probability Sample,Recruiting
NCT04401475,COVID-19|ARDS|,NA,NA,NA,Not yet recruiting
NCT04457609,COVID|Pulmonary Infection|Sars-CoV2|,Cipto Mangunkusumo General Hospital,Jakarta Pusat,NA,Recruiting
NCT04573764,COVID-19|,NA,NA,NA,Not yet recruiting
NCT04359303,COVID|,SEOT,Valencia,NA,Not yet recruiting
NCT04475302,COVID|,Tuberculosis Research Centre,Chennai,NA,Recruiting
NCT04339608,COVID-19|,"Max Super Speciality Hospital, A Unit of Devki Devi Foundation",New Delhi,Probability Sample,Recruiting
NCT04365634,COVID-19|,Tongji Hospital,Wuhan,Probability Sample,Completed
NCT04340466,"Pneumonia, Viral|Critically Ill|Corona Virus Infection|",CHU Nimes,Nîmes,Non-Probability Sample,Recruiting
NCT04358068,COVID-19|SARS-CoV 2|,Alabama CRS,Birmingham,NA,Completed
NCT04520880,Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV 2 Infection)|Hospitalized Patients|Laboratory-confirmed SARS-CoV 2 Infection|,Imam Abdulrahman Bin Faisal University,Dammam,Non-Probability Sample,Not yet recruiting
NCT04517422,SARS-CoV Infection|,Hospital General Dr. Manuel Gea Gonzalez,Mexico city,NA,Recruiting
NCT04530136,Confirmed Coronavirus Disease|,NA,NA,NA,Not yet recruiting
NCT04367363,Coronavirus|Depression|Anxiety|Stress|,Yale-NUS College,Singapore,Non-Probability Sample,Recruiting
NCT04362059,Respiratory Infections|,University Hospital Southampton NHS Foundation Trust,Southampton,NA,Recruiting
NCT04429867,COVID-19|,Wellstar Kennestone Hospital,Marietta,NA,"Active, not recruiting"
NCT04359680,COVID-19|Viral Respiratory Illnesses|,HealthStar Research LLC,Hot Springs,NA,Recruiting
NCT04359095,COVID-19|,Clinica santa Maria del lago,Bogota,NA,Recruiting
NCT04524663,Covid19|,Stanford University,Stanford,NA,Not yet recruiting
NCT04354389,COVID-19|,Fondazione IRCCS Ca' Granda - Ospedale Maggiore Policlinico,Milano,NA,Withdrawn
NCT04530578,Covid19|Pneumonia|,Clinica San Camilo,Ciudad Autonoma de Buenos Aire,NA,Recruiting
NCT04361916,COVID-19|,Asl Alessandria,Casale Monferrato,NA,Terminated
NCT04561102,SARS-CoV-2|,Rollins College Alfonds Sports Center,Winter Park,Non-Probability Sample,Enrolling by invitation
NCT04431414,SARS-CoV-2|COVID-19|,Alabama CRS,Birmingham,Probability Sample,Recruiting
NCT04441684,SARS-CoV-2 Serological Status|SARS-CoV-2 Seroprevalence|,Hôpitaux Universitaires de Strasbourg - Centre d'Investigation Clinique - Nouvel Hôpital Civil et Hautepierre,Strasbourg,NA,Recruiting
NCT04426279,Sars-CoV2|Rheumatoid Arthritis|Rheumatic Diseases|,Lille University Hospital,Lille,Non-Probability Sample,Recruiting
NCT04345653,COVID19|,Hackensack Meridian Health - JFK Medical Center,Edison,NA,"Active, not recruiting"
NCT04394013,Mental Health Issue|,Monash University Malaysia,Subang Jaya,NA,Recruiting
NCT04395807,COVID|Acute Hypoxemic Respiratory Failure|,Helsingborg's Hospital,Helsingborg,NA,Recruiting
NCT04358952,Cardiomyopathies|,UHToulouse,Toulouse,Probability Sample,Recruiting
NCT04396600,"Stress|Stress Disorder|Stress, Psychological|Trauma, Psychological|Anxiety|Anxiety State|Post Traumatic Stress Disorder|Secondary Traumatic Stress|Professional Quality of Life|Stress Related Disorder|Stress Reaction|Stress Risk|Mental Resilience|Emotional Resilience|",University of Minnesota,Minneapolis,Probability Sample,Enrolling by invitation
NCT04488549,Colo-rectal Cancer|Colon Cancer|Rectal Cancer|Oncology|Surgery|,Treviso Regional Hospital,Treviso,Non-Probability Sample,Completed
NCT04333225,COVID-19|,Baylor University Medical Center,Dallas,NA,"Active, not recruiting"
NCT04335786,Acute Respiratory Distress Syndrome|SARS-CoV-2|COVID|COVID-19|Severe Acute Respiratory Syndrome|,Jeroen Bosch Ziekenhuis,'s-Hertogenbosch,NA,Recruiting
NCT04346212,Oropharyngeal Dysphagia|COVID-19|Sars-CoV2|Nutrition|,Consorci Sanitari del Maresme (Hospital de Mataró),Mataró,Non-Probability Sample,Recruiting
NCT04348942,COVID-19|,ObvioHealth,Orlando,Non-Probability Sample,Recruiting
NCT04383574,COVID-19|,Renqiu City Center for Disease Control and Prevention,Renqiu,NA,"Active, not recruiting"
NCT04528927,COVID 19|Patients Hospitalized|,Eshmoun Clinical Research Centre,Tunis,NA,Withdrawn
NCT04315987,COVID-19 Pneumonia|,Hospital Vera Cruz,Campinas,NA,Not yet recruiting
NCT04541680,SARS-Cov-2 Induced Pulmonary Fibrosis|,NA,NA,NA,Not yet recruiting
NCT04422574,Covid 19|,Uh Montpellier,Montpellier,Non-Probability Sample,Completed
NCT04370678,Arthroscopy|,Zealand University Hospital,Køge,Non-Probability Sample,Completed
NCT04409496,Smoking Cessation|,Tung Wah Group of Hospitals Integrated Centre on Smoking Cessation,Hong Kong,NA,"Active, not recruiting"
NCT04565106,Covid19|Hypoxemic Respiratory Failure|Hypoxemia|,Hvidovre University Hospital,Copenhagen,Non-Probability Sample,Completed
NCT04530500,Covid19|Androgen Receptor Gene Overexpression|,"Applied Biology, Inc",Irvine,Non-Probability Sample,Enrolling by invitation
NCT04341688,Covid-19|,NA,NA,NA,Not yet recruiting
NCT04370015,SARS-CoV-2|Healthcare Workers|,NA,NA,NA,Not yet recruiting
NCT04364828,COVID-19|,NA,NA,NA,Not yet recruiting
NCT04474067,COVID-19|,Hadassah Medical Center,Jerusalem,Non-Probability Sample,Recruiting
NCT04412031,to Predict an Unfavorable Evolution of Covid-19 at the Hospital Admission of Patients|,Hôpital E Herriot - Hospices Civils de LYON,Lyon,Non-Probability Sample,Completed
NCT04424134,COVID 19|,Lomonosov Moscow State University Medical Research and Educational Center,Moscow,NA,Recruiting
NCT04420338,Chronic Hemodialysis Patients|Caregivers of Chronic Hemodialysis Patients|,Assistance Publique Hôpitaux de Marseille,Marseille,NA,Recruiting
NCT04378244,COVID-19|Cytokine Storm|Acute Respiratory Distress Syndrome|,NA,NA,NA,Not yet recruiting
NCT04331366,COVID-19|,Emory University Hospital,Atlanta,NA,Recruiting
NCT04433949,Pneumonia|Severe Acute Respiratory Syndrome|Symptomatic COVID-19 Infection Laboratory-Confirmed|,Emory University Hospital/Winship Cancer Institute,Atlanta,NA,Recruiting
NCT04390412,COVID|SARS (Severe Acute Respiratory Syndrome)|,Imam Hossein Hospital,Tehran,NA,"Active, not recruiting"
NCT04315298,COVID-19|,Regeneron Study Site,Los Angeles,NA,Completed
NCT04542330,Covid19|Non-specific Effects of Vaccines|Heterologous Immunity|Morbidity|Immunosenescence|Vaccine Preventable Disease|,NA,NA,NA,Not yet recruiting
NCT04447833,"ARDS, Human|COVID|",Uppsala University Hospital,Uppsala,NA,Recruiting
NCT04472585,Coronavirus Infection|COVID|Sars-CoV2|,Shaikh Zayed Hospital,Lahore,NA,Recruiting
NCT04429763,COVID-19|,NA,NA,NA,Not yet recruiting
NCT04568525,Covid19|,Educational - clinical - scientific medical center of KSMA,Bishkek,NA,Completed
NCT04405492,SARS-CoV 2|COVID-19|,NA,NA,NA,Not yet recruiting
NCT04426305,Covid 19|Social Isolation|Mental Health Impairment|,Department of Public Health and Primary Care,Ghent,NA,Enrolling by invitation
NCT04377412,Anxiety|Depression|Pregnancy Related|,Wayne State University,Detroit,Non-Probability Sample,Recruiting
NCT04515225,HIV Infections|,NA,NA,Probability Sample,Not yet recruiting
NCT04510454,Cancer|COVID|,NA,NA,NA,Not yet recruiting
NCT04508075,SARS-CoV2 Infection|,"Hasan Sadikin Hospital/School of Medicine, Padjadjaran University",Bandung,NA,Recruiting
NCT04534712,Covid19|,Sir Ganga Ram Hospital,New delhi,Probability Sample,Not yet recruiting
NCT04373148,Coronavirus|,"Stanford University, Hospital, and Clinics",Stanford,Non-Probability Sample,Recruiting
NCT04363866,COVID-19|SARS-CoV-2|,Oregon Health and Science University,Portland,NA,Not yet recruiting
NCT04561024,Covid19|,University of Hong Kong,Hong Kong,Non-Probability Sample,"Active, not recruiting"
NCT04391946,"Chronic Lymphocytic Leukemia, Lymphocytic Lymphoma or Waldenstrom Disease|",Chu Angers,Angers,Non-Probability Sample,Recruiting
NCT04459962,Covid-19 Infection|,Ashford and St Peter's Hospitals NHS Foundation Trust,Chertsey,NA,Recruiting
NCT04401111,COVID|ARDS|Quality of Life|,CHU de Nice,Nice,Non-Probability Sample,Recruiting
NCT02765191,"Sepsis, Severe|Acute Kidney Injury|COVID-19|",Uppsala University Hospital,Uppsala,NA,Recruiting
NCT04477902,Covid19|Corona Virus Infection|Quality of Life|Risk Reduction|,Altura,Mission Viejo,Non-Probability Sample,Recruiting
NCT04344457,COVID-19|,Perseverance Research Center,Scottsdale,NA,Recruiting
NCT04292964,"SARS-CoV-2|Outcome, Fatal|",The First Affiliated Hospital of Chongqing Medical University,Chongqing,Non-Probability Sample,Completed
NCT04403269,Sars-CoV2|,Centre Hospitalier de Versailles,Le Chesnay,NA,Recruiting
NCT04330690,COVID-19|,Peter Lougheed Centre,Calgary,NA,Recruiting
NCT04493268,Hyponatremia|Covid19|Corona Virus Infection|,Hospital Posadas,Buenos Aires,Non-Probability Sample,Completed
NCT04466644,COVID-19|,Boston IVF Fertility Clinic,Boston,Non-Probability Sample,Completed
